"Product Name"," Product Code"," IMEI or Serial Numbers"," Expected"," Counted"
"Tryptin 10 mg",628,null/null,260,
"A-Cold 4 mg/5 ml",4077,,0,
"A-Cof (10 mg+30 mg+1.25 mg)/5 ml",4006,,0,
"A-Clox 500 mg/vial",6174,,0,
"A-Clox 250 mg/vial",6173,,0,
"A-Clox 125 mg/5 ml",6172,,0,
"A-Clox 500 mg",6171,,0,
"A-Care 6 mg+200 mg+50 mg",14006,,-20,
"A-Card 20 mg",3039,,0,
"A-Calm 50 mg",15483,,47,
"A-Cal DX 500 mg+400 IU",14480,,0,
"A-Cal D 500 mg+200 IU",14399,,69,
"A-Cal 500 mg",14264,,0,
"A-B1 100 mg",13582,,140,
"5X 30 mg",25154,,0,
"5-Fluril 25 mg/ml",105,,0,
"Arubin 500 mg",27661,,0,
Arkid,29715,,0,
Arjunacard,29714,,0,
Apelin,30450,,0,
Antiligo,29646,,20,
"Anseng 500 mg",31923,,60,
"Anjort 300 mg",29754,,0,
Amlacid,29712,,0,
Amlabery,30288,,0,
"Amla (Hair oil) (1.66 ml+3.3 ml)/5 ml",29661,,0,
"AmCivit (3.03 ml+0.12 gm)/5 ml",27660,,0,
Alvasin,29645,,0,
"Altiver 60 mg",28006,,0,
"Alovera 345 mg",29711,,60,
"Alkuli 100ml",29644,,11,
Alisa,29643,,0,
"Aliksir 500 mg",29868,,20,
"Alfa-E 200 mg",13947,,0,
Agerd,29642,,0,
Afrodic,29752,,0,
Afrodic,29752,,0,
"Adovas 100ml",27659,,9,
Adolef,29562,,0,
"Acteria 4 billion/sachet",30871,,20,
"Acteria 4 billion",27602,,40,
Acmina,29710,,0,
"Acme&amp;#039;s Spirulina 450 mg",29709,,0,
"Acme&amp;#039;s Chyabanprash",29708,,0,
"Basok 100 ml",29707,,18,
"Centurin 250 mg",29650,,0,
"Carmina 450ml",29649,,11,
"Carmina 450ml",29649,,0,
"Cardi Q 50 mg",28872,,0,
"Cardi Q 100 mg",28873,,0,
Calrip,29647,,0,
"Brogel 500 mg",32191,,0,
Braintel,29720,,0,
"Bolardi 500 mg",29908,,0,
"Bolardi 250 mg",29907,,0,
"Bliss 140 mg",31985,,0,
"Black Cohos 40 mg",31650,,0,
"Biovit-E 200 mg",13948,,0,
"Bioprem 2.5",31161,,50,
"Bioprem 5 soft gel cap",31160,,20,
"Bioglo 1000 mcg",31734,,0,
"Bioglo 2500 mcg",32753,,0,
"Biogen 1 gm",28010,,0,
"Bio-7 1000 mcg",29565,,0,
"Bilogin 60 mg",30066,,0,
"Biloba 60 mg",29857,,152,
Betaburn,29559,,2,
"Bel (1 gm+0.5 gm)/5 ml",29757,,3,
Basokof,29756,,0,
Basak,30451,,0,
"Bandish 15.63 mg+78.12 mg",29755,,0,
Balarist-A,29719,,0,
Asparex,29718,,0,
Asmarid,28220,,0,
"E-Cap 600 IU",28723,,280,
"E 400 400 IU",13951,,0,
"E 200 200 IU",13950,,0,
Dysni,29655,,0,
Duratab,29761,,0,
"Dubarel 200ml",27662,,3,
Dolabi,29654,,0,
DK,29563,,1,
"Dirulina 500 mg",29760,,0,
"Digac 100ml",29722,,4,
"Difans 5 mg",33111,,0,
Devas,29162,,8,
Dermaid,29653,,0,
"Decaren 100mg",30996,,30,
"Danta Rakkha",29652,,0,
"Dabur Chyawanprash",29704,,0,
"D-Sefa 500 mg",29787,,80,
"Curnoid 500 mg",27680,,20,
"Cranbiotic 400 mg",27679,,20,
"Cran-B 400 mg",30140,,2,
"Cpvit E 200 mg",13949,,0,
"Cozyme 60 mg",14756,,0,
"Cozyme 30 mg",14755,,0,
"CoQ 60 mg",14754,,0,
"CoQ 30 mg",14753,,0,
"Cool max",29721,,0,
"Colmint 187 mg/0.2 ml",23426,,0,
"Cinkara 450",29651,,10,
Chirol,29758,,0,
"Femorose 1000 mg (30)Pc",30162,,2,
"Femiton 500 mg",29724,,0,
"Fecilax 100gm",29723,,3,
"EVV 200 mg",13982,,0,
"Evit 400 mg",13967,,0,
"Evit Soft 200 mg",55689120,,70,
"Evidon 200 mg",13985,,0,
"Etrifal Ustukhudus",29658,,0,
"Eredex 5.4 mg",27663,,72,
"Eprim 500 mg",13077,,2,
"Enerton 200ml",29157,,4,
Endurex,29657,,0,
Endemali,29656,,0,
"Efynal 200 mg (30)Pc",13958,,5,
"Ecovit-S 200 mg",13954,,0,
"Ecovit 400 mg",13955,,0,
"E-Zen 200 mg",28756,,0,
"E-Tab 200 IU",28254,,0,
"E-Soft 400 IU",13963,,0,
"E-Soft 200 IU",13962,,0,
"E-Gold 200 IU",13961,,0,
"E-Gold 400 IU",27802,,0,
"E-Gel DS 400 IU",13960,,100,
"E-Gel 200 IU",13959,,160,
"E-fill 400 mg",13957,,0,
"E-fill 200 mg",13956,,0,
"E-Cold 450 mg",31655,,0,
"E-Cap 200 IU",13952,,58,
"Hajmo-A 500 mg",29729,,0,
"Gynolac 2.3 billion",33153,,0,
"GoodGut 4 billion",29471,,47,
"Goodbac-L Syrup",32016,,2,
"Gobison 120 mg",32188,,0,
"Gintonic 300 mg/5 ml",29728,,0,
"Ginton 500 mg",29631,,0,
"Gintex 500 mg",27655,,44,
"Ginsina 500 mg",31654,,65,
"Ginoba 60 mg (30)Pc",27683,,0,
"Ginkgo-B 60 mg",31918,,0,
"Gingoba 120 mg",31652,,30,
"Gingoba 40 mg",31653,,0,
"Gingo 60 mg",29727,,0,
"Ginera 500 mg",29867,,18,
"Ginax 500 mg",32291,,0,
"Giloba 60 mg",27665,,54,
"Giloba 120 mg",27664,,60,
"Gelaseed 1000 mg",27508,,0,
"Gastroaid 500 mg",27682,,10,
"Garllium 385 mg",32287,,0,
"Garlin 10 mg",28532,,0,
"Garlicap 10 mg",29107,,0,
Frodex,29660,,0,
"Flucare 200 mg",31651,,0,
